OpenGWAS.Trait	Tool.Mapping..1	Identifier	Score	Tool.Mapping..2	Identifier.1	Score.1	Tool.Mapping..3	Identifier.2	Score.2	mapper1	mapper2
Creatine kinase	Elevated serum creatine kinase	http://purl.obolibrary.org/obo/HP_0003236	0.840181723	creatine kinase measurement	http://purl.obolibrary.org/obo/HP_0003236	0.840181723	creatine biosynthetic process disease	http://purl.obolibrary.org/obo/HP_0003236	0.840181723	Ryan Langdon	Maria Sobczyk-Barad
Creatinine (enzymatic) in urine	urinary uric acid to creatinine ratio	http://www.ebi.ac.uk/efo/EFO_0007935	0.697819525	creatinine measurement	http://www.ebi.ac.uk/efo/EFO_0007935	0.697819525	urinary sodium to creatinine ratio	http://www.ebi.ac.uk/efo/EFO_0007935	0.697819525	Ryan Langdon	Maria Sobczyk-Barad
CXCL10 levels	CXCL10 measurement	http://www.ebi.ac.uk/efo/EFO_0010778	0.742951743	CXCL1 measurement	http://www.ebi.ac.uk/efo/EFO_0010778	0.742951743	CXCL12 measurement	http://www.ebi.ac.uk/efo/EFO_0010778	0.742951743	Zak Thornton	Marina Vabistsevits
Cylindrical power (left)	adnexal spiradenoma/cylindroma of a sweat gland	http://purl.obolibrary.org/obo/MONDO_0021812	0.596226958	salivary gland adenoid cystic carcinoma	http://purl.obolibrary.org/obo/MONDO_0021812	0.596226958	adenoid cystic carcinoma	http://purl.obolibrary.org/obo/MONDO_0021812	0.596226958	Benjamin Woolf	Giulio Centorame
Cystatin-8	cystatin B measurement	http://www.ebi.ac.uk/efo/EFO_0010593	0.802423188	cystatin C measurement	http://www.ebi.ac.uk/efo/EFO_0010593	0.802423188	Hereditary cerebral hemorrhage with amyloidosis, Icelandic type	http://www.ebi.ac.uk/efo/EFO_0010593	0.802423188	Ryan Langdon	Maria Sobczyk-Barad
Cytochrome c oxidase subunit 4 isoform 2, mitochondrial	Mitochondrial myopathy with reversible cytochrome C oxidase deficiency	http://www.orpha.net/ORDO/Orphanet_254864	0.607632956	Isolated cytochrome C oxidase deficiency	http://www.orpha.net/ORDO/Orphanet_254864	0.607632956	Mitochondrial disease	http://www.orpha.net/ORDO/Orphanet_254864	0.607632956	Ryan Langdon	Maria Sobczyk-Barad
Cytokine receptor common subunit beta	cytokine	http://www.ebi.ac.uk/efo/EFO_0003786	0.533886812	interleukin 6 receptor subunit beta measurement	http://www.ebi.ac.uk/efo/EFO_0003786	0.533886812	interleukin 12 receptor subunit beta-1 measurement	http://www.ebi.ac.uk/efo/EFO_0003786	0.533886812	Ryan Langdon	Maria Sobczyk-Barad
DCN1-like protein 3	Fc receptor-like protein 3 measurement	http://www.ebi.ac.uk/efo/EFO_0008127	0.345725807	SPARC-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008127	0.345725807	lipoprotein	http://www.ebi.ac.uk/efo/EFO_0008127	0.345725807	Zak Thornton	Marina Vabistsevits
DEAD-box protein 19B	Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	0.310457361	protein c deficiency	http://purl.obolibrary.org/obo/HP_0000093	0.310457361	Hereditary thrombophilia due to congenital protein C deficiency	http://purl.obolibrary.org/obo/HP_0000093	0.310457361	Benjamin Woolf	Giulio Centorame
Depression (broad)	depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002050	0.994793477	unipolar depression	http://purl.obolibrary.org/obo/MONDO_0002050	0.994793477	Deeply set eye	http://purl.obolibrary.org/obo/MONDO_0002050	0.994793477	Ryan Langdon	Maria Sobczyk-Barad
Diabetic nephropathy	diabetic nephropathy	http://www.ebi.ac.uk/efo/EFO_0000401	0.986265706	Nephropathy	http://www.ebi.ac.uk/efo/EFO_0000401	0.986265706	kidney disease	http://www.ebi.ac.uk/efo/EFO_0000401	0.986265706	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: I48 Atrial fibrillation and flutter	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	0.626473444	Familial atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	0.626473444	atrial flutter	http://www.ebi.ac.uk/efo/EFO_0000275	0.626473444	Ryan Langdon	Maria Sobczyk-Barad
Diagnoses - main ICD10: I84.8 Unspecified haemorrhoids with other complications	hemorrhoid	http://www.ebi.ac.uk/efo/EFO_0009552	0.403659846	gastritis	http://www.ebi.ac.uk/efo/EFO_0009552	0.403659846	complication	http://www.ebi.ac.uk/efo/EFO_0009552	0.403659846	Benjamin Woolf	Giulio Centorame
Diagnoses - main ICD10: J34.2 Deviated nasal septum	Nasal Septal Perforation	http://www.ebi.ac.uk/efo/EFO_1001813	0.415019165	atrial heart septal defect	http://www.ebi.ac.uk/efo/EFO_1001813	0.415019165	nasal disorder	http://www.ebi.ac.uk/efo/EFO_1001813	0.415019165	Samuel Neaves	Rebecca Carnegie
Diagnoses - main ICD10: K30 Dyspepsia	dyspepsia	http://www.ebi.ac.uk/efo/EFO_0008533	0.617354159	dysplasia	http://www.ebi.ac.uk/efo/EFO_0008533	0.617354159	specific language disorder	http://www.ebi.ac.uk/efo/EFO_0008533	0.617354159	Samuel Neaves	Rebecca Carnegie
Diagnoses - main ICD10: K56 Paralytic ileus and intestinal obstruction without hernia	intestinal obstruction	http://purl.obolibrary.org/obo/MONDO_0004565	0.523578763	Paralytic ileus	http://purl.obolibrary.org/obo/MONDO_0004565	0.523578763	Gastrointestinal obstruction	http://purl.obolibrary.org/obo/MONDO_0004565	0.523578763	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: K80.0 Calculus of gallbladder with acute cholecystitis	acalculous cholecystitis	http://www.ebi.ac.uk/efo/EFO_1000790	0.612309665	Cholecystitis, Acute	http://www.ebi.ac.uk/efo/EFO_1000790	0.612309665	gallbladder disease	http://www.ebi.ac.uk/efo/EFO_1000790	0.612309665	everyone	NA
Diagnoses - main ICD10: L98.9 Disorder of skin and subcutaneous tissue, unspecified	skin disease	http://www.ebi.ac.uk/efo/EFO_0000701	0.65771746	Genetic subcutaneous tissue disorder	http://www.ebi.ac.uk/efo/EFO_0000701	0.65771746	panniculitis	http://www.ebi.ac.uk/efo/EFO_0000701	0.65771746	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: M51 Other intervertebral disk disorders	lumbar disc degeneration	http://www.ebi.ac.uk/efo/EFO_0004994	0.627167328	vertebral joint disease	http://www.ebi.ac.uk/efo/EFO_0004994	0.627167328	discitis	http://www.ebi.ac.uk/efo/EFO_0004994	0.627167328	Ryan Langdon	Maria Sobczyk-Barad
Diagnoses - main ICD10: M75.4 Impingement syndrome of shoulder	shoulder impingement syndrome	http://www.ebi.ac.uk/efo/EFO_1001178	0.759782607	Shoulder pain	http://www.ebi.ac.uk/efo/EFO_1001178	0.759782607	syndromic disease	http://www.ebi.ac.uk/efo/EFO_1001178	0.759782607	Benjamin Woolf	Giulio Centorame
Diagnoses - main ICD10: M79.66 Pain in limb (Lower leg)	Limb pain	http://purl.obolibrary.org/obo/HP_0009763	0.544364271	Lower limb pain	http://purl.obolibrary.org/obo/HP_0009763	0.544364271	pain	http://purl.obolibrary.org/obo/HP_0009763	0.544364271	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: N23 Unspecified renal colic	Renal Colic	http://www.ebi.ac.uk/efo/EFO_1001412	0.469637242	nephrosclerosis	http://www.ebi.ac.uk/efo/EFO_1001412	0.469637242	malaria	http://www.ebi.ac.uk/efo/EFO_1001412	0.469637242	Benjamin Woolf	Giulio Centorame
Diagnoses - main ICD10: N40 Hyperplasia of prostate	benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	0.699768074	hyperplasia	http://www.ebi.ac.uk/efo/EFO_0000284	0.699768074	Mastocytosis	http://www.ebi.ac.uk/efo/EFO_0000284	0.699768074	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: O03 Spontaneous abortion	spontaneous abortion	http://www.ebi.ac.uk/efo/EFO_1001255	0.68257272	habitual abortion	http://www.ebi.ac.uk/efo/EFO_1001255	0.68257272	spontaneous mutation	http://www.ebi.ac.uk/efo/EFO_1001255	0.68257272	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: R14 Flatulence and related conditions	flatulence	http://www.ebi.ac.uk/efo/EFO_0009669	0.550056777	cancer-related condition	http://www.ebi.ac.uk/efo/EFO_0009669	0.550056777	atopic eczema	http://www.ebi.ac.uk/efo/EFO_0009669	0.550056777	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: R56 Convulsions, not elsewhere classified	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.5068254	convulsion	http://www.ebi.ac.uk/efo/EFO_0000684	0.5068254	immune system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.5068254	Ryan Langdon	Maria Sobczyk-Barad
Diagnoses - main ICD10: T39.1 4-Aminophenol derivatives	Persistent Müllerian duct syndrome	http://www.orpha.net/ORDO/Orphanet_2856	0.314020106	Pseudoaminopterin syndrome	http://www.orpha.net/ORDO/Orphanet_2856	0.314020106	immunophenotype	http://www.orpha.net/ORDO/Orphanet_2856	0.314020106	Zak Thornton	Marina Vabistsevits
Diagnoses - main ICD10: Z30.2 Sterilisation	infertility	http://www.ebi.ac.uk/efo/EFO_0000545	0.354280441	male infertility	http://www.ebi.ac.uk/efo/EFO_0000545	0.354280441	date of diagnosis	http://www.ebi.ac.uk/efo/EFO_0000545	0.354280441	Samuel Neaves	Rebecca Carnegie
Diagnoses - secondary ICD10: B96.2 Escherichia coli [E. coli] as the cause of diseases classified to other chapters	Escherichia coli Infections	http://www.ebi.ac.uk/efo/EFO_1001318	0.428884077	Escherichia coli meningitis	http://www.ebi.ac.uk/efo/EFO_1001318	0.428884077	cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_1001318	0.428884077	Benjamin Woolf	Giulio Centorame
Diagnoses - secondary ICD10: D12.5 Sigmoid colon	sigmoid neoplasm	http://www.ebi.ac.uk/efo/EFO_1001181	0.560538248	rectosigmoid junction neoplasm	http://www.ebi.ac.uk/efo/EFO_1001181	0.560538248	secondary neoplasm	http://www.ebi.ac.uk/efo/EFO_1001181	0.560538248	Benjamin Woolf	Giulio Centorame
Diagnoses - secondary ICD10: G47.3 Sleep apnoea	Apnea	http://purl.obolibrary.org/obo/HP_0002104	0.51952511	sleep apnea	http://purl.obolibrary.org/obo/HP_0002104	0.51952511	sleep apnea measurement during REM sleep	http://purl.obolibrary.org/obo/HP_0002104	0.51952511	Benjamin Woolf	Giulio Centorame
Diagnoses - secondary ICD10: I51.7 Cardiomegaly	cardiac hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002503	0.617524412	extrinsic cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0002503	0.617524412	cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0002503	0.617524412	Samuel Neaves	Rebecca Carnegie
Diagnoses - secondary ICD10: J22 Unspecified acute lower respiratory infection	Recurrent upper respiratory tract infections	http://purl.obolibrary.org/obo/HP_0002788	0.49469157	respiratory system disease	http://purl.obolibrary.org/obo/HP_0002788	0.49469157	severe acute respiratory syndrome	http://purl.obolibrary.org/obo/HP_0002788	0.49469157	Ryan Langdon	Maria Sobczyk-Barad
Diagnoses - secondary ICD10: K22.1 Ulcer of oesophagus	esophageal ulcer	http://purl.obolibrary.org/obo/MONDO_0044782	0.581647004	carcinoma of esophagus	http://purl.obolibrary.org/obo/MONDO_0044782	0.581647004	esophageal adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0044782	0.581647004	Samuel Neaves	Rebecca Carnegie
Diagnoses - secondary ICD10: K62.1 Rectal polyp	polyp of rectum	http://purl.obolibrary.org/obo/MONDO_0021398	0.576488092	polyp of large intestine	http://purl.obolibrary.org/obo/MONDO_0021398	0.576488092	polyp	http://purl.obolibrary.org/obo/MONDO_0021398	0.576488092	Zak Thornton	Marina Vabistsevits
Diagnoses - secondary ICD10: N80.0 Endometriosis of uterus	endometriosis of uterus	http://purl.obolibrary.org/obo/MONDO_0010888	0.652327288	endometriosis	http://purl.obolibrary.org/obo/MONDO_0010888	0.652327288	Ovarian Endometriosis	http://purl.obolibrary.org/obo/MONDO_0010888	0.652327288	Ryan Langdon	Maria Sobczyk-Barad
Diagnoses - secondary ICD10: N92.0 Excessive and frequent menstruation with regular cycle	menstrual cycle measurement	http://www.ebi.ac.uk/efo/EFO_0007786	0.381498403	carcinoid syndrome	http://www.ebi.ac.uk/efo/EFO_0007786	0.381498403	Oligomenorrhea	http://www.ebi.ac.uk/efo/EFO_0007786	0.381498403	Benjamin Woolf	Giulio Centorame
Diagnoses - secondary ICD10: R69 Unknown and unspecified causes of morbidity	infectious meningitis	http://www.ebi.ac.uk/efo/EFO_0000584	0.395041296	secondary Parkinson disease	http://www.ebi.ac.uk/efo/EFO_0000584	0.395041296	fever of unknown origin	http://www.ebi.ac.uk/efo/EFO_0000584	0.395041296	Samuel Neaves	Rebecca Carnegie
Diagnoses - secondary ICD10: Z85.5 Personal history of malignant neoplasm of urinary tract	Malignant Urinary System Neoplasm	http://www.ebi.ac.uk/efo/EFO_1000363	0.626659681	secondary malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_1000363	0.626659681	urinary system neoplasm	http://www.ebi.ac.uk/efo/EFO_1000363	0.626659681	Samuel Neaves	Rebecca Carnegie
Disintegrin and metalloproteinase domain-containing protein 9	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.560617185	a disintegrin and metalloproteinase with thrombospondin motifs 13	http://www.ebi.ac.uk/efo/EFO_0010776	0.560617185	a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.560617185	Zak Thornton	Marina Vabistsevits
DnaJ homolog subfamily B member 12	ATP binding cassette subfamily B member 6	http://www.ebi.ac.uk/efo/EFO_0009916	0.46540327	leukocyte immunoglobulin-like receptor subfamily B member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0009916	0.46540327	leukocyte immunoglobulin-like receptor subfamily B member 2 measurement	http://www.ebi.ac.uk/efo/EFO_0009916	0.46540327	Samuel Neaves	Rebecca Carnegie
Dual specificity protein phosphatase 15	3-phosphoserine phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.487225623	Acid phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.487225623	dual specificity mitogen-activated protein kinase kinase 2 measurement	http://www.orpha.net/ORDO/Orphanet_79350	0.487225623	Samuel Neaves	Rebecca Carnegie
Dual specificity protein phosphatase 6	3-phosphoserine phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.502232766	Acid phosphatase deficiency	http://www.orpha.net/ORDO/Orphanet_79350	0.502232766	dual specificity mitogen-activated protein kinase kinase 2 measurement	http://www.orpha.net/ORDO/Orphanet_79350	0.502232766	Samuel Neaves	Rebecca Carnegie
Dynein light chain 1, cytoplasmic	dynein light chain roadblock-type 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008114	0.50120723	light	http://www.ebi.ac.uk/efo/EFO_0008114	0.50120723	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0008114	0.50120723	Ryan Langdon	Maria Sobczyk-Barad
Ectonucleoside triphosphate diphosphohydrolase 1	ectonucleoside triphosphate diphosphohydrolase 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008115	0.928678561	nucleoside diphosphate kinase A measurement	http://www.ebi.ac.uk/efo/EFO_0008115	0.928678561	Hemolytic anemia due to diphosphoglycerate mutase deficiency	http://www.ebi.ac.uk/efo/EFO_0008115	0.928678561	Zak Thornton	Marina Vabistsevits
Eicosenoate (20:1n9 or 11)	Epidermal Inclusion Cyst	http://www.ebi.ac.uk/efo/EFO_1000243	0.531492454	eicosadienoic acid measurement	http://www.ebi.ac.uk/efo/EFO_1000243	0.531492454	eicosapentaenoic acid measurement	http://www.ebi.ac.uk/efo/EFO_1000243	0.531492454	Samuel Neaves	Rebecca Carnegie
Endocarditis (no controls excluded)	endocarditis	http://www.ebi.ac.uk/efo/EFO_0000465	0.977686937	subacute bacterial endocarditis	http://www.ebi.ac.uk/efo/EFO_0000465	0.977686937	infective endocarditis	http://www.ebi.ac.uk/efo/EFO_0000465	0.977686937	Zak Thornton	Marina Vabistsevits
ENTP5	Xeroderma pigmentosum complementation group E	http://www.orpha.net/ORDO/Orphanet_276261	0.334541908	Microphthalmia - retinitis pigmentosa - foveoschisis - optic disc drusen	http://www.orpha.net/ORDO/Orphanet_276261	0.334541908	CROAP5	http://www.orpha.net/ORDO/Orphanet_276261	0.334541908	Samuel Neaves	Rebecca Carnegie
Envoplakin	malacoplakia	http://www.ebi.ac.uk/efo/EFO_1001807	0.467593099	leukoplakia	http://www.ebi.ac.uk/efo/EFO_1001807	0.467593099	erythroplasia	http://www.ebi.ac.uk/efo/EFO_1001807	0.467593099	Samuel Neaves	Rebecca Carnegie
ER- Breast cancer (iCOGS)	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	0.904085368	estrogen-receptor negative breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	0.904085368	male breast carcinoma	http://purl.obolibrary.org/obo/MONDO_0007254	0.904085368	Samuel Neaves	Rebecca Carnegie
Ever worried more than most people would in similar situation	Single transverse palmar crease	http://purl.obolibrary.org/obo/HP_0000954	0.275034425	injury	http://purl.obolibrary.org/obo/HP_0000954	0.275034425	psoriasis	http://purl.obolibrary.org/obo/HP_0000954	0.275034425	Zak Thornton	Marina Vabistsevits
Excessive sweating	Hyperhidrosis	http://purl.obolibrary.org/obo/HP_0000975	0.992362209	blood coagulation disease	http://purl.obolibrary.org/obo/HP_0000975	0.992362209	Hirsutism	http://purl.obolibrary.org/obo/HP_0000975	0.992362209	Zak Thornton	Marina Vabistsevits
Eye problems/disorders: Injury or trauma resulting in loss of vision	injury	http://www.ebi.ac.uk/efo/EFO_0000546	0.476394349	Visual loss	http://www.ebi.ac.uk/efo/EFO_0000546	0.476394349	eye injury	http://www.ebi.ac.uk/efo/EFO_0000546	0.476394349	Samuel Neaves	Rebecca Carnegie
Fever of unknown origin	fever of unknown origin	http://www.ebi.ac.uk/efo/EFO_0003952	0.990547032	glial tumor of neuroepithelial tissue with unknown origin	http://www.ebi.ac.uk/efo/EFO_0003952	0.990547032	Unknown leukodystrophy	http://www.ebi.ac.uk/efo/EFO_0003952	0.990547032	Ryan Langdon	Maria Sobczyk-Barad
FGF7	fibroblast growth factor 23 measurement	http://www.ebi.ac.uk/efo/EFO_0009381	0.306567044	MCF-7	http://www.ebi.ac.uk/efo/EFO_0009381	0.306567044	factor VII deficiency	http://www.ebi.ac.uk/efo/EFO_0009381	0.306567044	Zak Thornton	Marina Vabistsevits
Fibroblast growth factor 9	basic fibroblast growth factor	http://www.ebi.ac.uk/efo/EFO_0003316	0.865511679	fibroblast growth factor 2 measurement	http://www.ebi.ac.uk/efo/EFO_0003316	0.865511679	fibroblast growth factor 5 measurement	http://www.ebi.ac.uk/efo/EFO_0003316	0.865511679	Samuel Neaves	Rebecca Carnegie
Fibromyalgia related co-morbidities	fibromyalgia	http://www.ebi.ac.uk/efo/EFO_0005687	0.703075214	Myalgia	http://www.ebi.ac.uk/efo/EFO_0005687	0.703075214	epidemic pleurodynia	http://www.ebi.ac.uk/efo/EFO_0005687	0.703075214	Benjamin Woolf	Giulio Centorame
FN1.4	Frontonasal dysplasia	http://www.orpha.net/ORDO/Orphanet_250	0.307049537	LA-N-1	http://www.orpha.net/ORDO/Orphanet_250	0.307049537	Multiple endocrine neoplasia type 1	http://www.orpha.net/ORDO/Orphanet_250	0.307049537	Zak Thornton	Marina Vabistsevits
Follistatin-related protein 4	follistatin measurement	http://www.ebi.ac.uk/efo/EFO_0010614	0.588175007	kallistatin measurement	http://www.ebi.ac.uk/efo/EFO_0010614	0.588175007	Proteinuria	http://www.ebi.ac.uk/efo/EFO_0010614	0.588175007	Zak Thornton	Marina Vabistsevits
Forced expiratory volume in 1-second (FEV1)  predicted	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	0.800392133	volume	http://www.ebi.ac.uk/efo/EFO_0004314	0.800392133	peak expiratory flow	http://www.ebi.ac.uk/efo/EFO_0004314	0.800392133	Zak Thornton	Marina Vabistsevits
Forced expiratory volume in 1-second (FEV1), predicted	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	0.800392133	volume	http://www.ebi.ac.uk/efo/EFO_0004314	0.800392133	peak expiratory flow	http://www.ebi.ac.uk/efo/EFO_0004314	0.800392133	Ryan Langdon	Maria Sobczyk-Barad
Fracture of lumbar spine and pelvis	fracture of pelvis	http://www.ebi.ac.uk/efo/EFO_0009622	0.750588486	spinal fracture	http://www.ebi.ac.uk/efo/EFO_0009622	0.750588486	lumbar puncture	http://www.ebi.ac.uk/efo/EFO_0009622	0.750588486	Zak Thornton	Marina Vabistsevits
Free cholesterol in LDL	LDL cholesterol	http://www.ebi.ac.uk/efo/EFO_0004195	0.819890233	free cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004195	0.819890233	LDL cholesterol:HDL cholesterol ratio	http://www.ebi.ac.uk/efo/EFO_0004195	0.819890233	Zak Thornton	Marina Vabistsevits
Free cholesterol in very large VLDL	free cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0008591	0.614524319	very low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0008591	0.614524319	LDL cholesterol	http://www.ebi.ac.uk/efo/EFO_0008591	0.614524319	Samuel Neaves	Rebecca Carnegie
Free cholesterol to total lipids ratio in large LDL	LDL cholesterol	http://www.ebi.ac.uk/efo/EFO_0004195	0.551290384	LDL cholesterol:HDL cholesterol ratio	http://www.ebi.ac.uk/efo/EFO_0004195	0.551290384	free cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004195	0.551290384	Benjamin Woolf	Giulio Centorame
Frequency of other exercises in last 4 weeks	exercise	http://www.ebi.ac.uk/efo/EFO_0000483	0.518092318	exercise test	http://www.ebi.ac.uk/efo/EFO_0000483	0.518092318	Recurrent infections	http://www.ebi.ac.uk/efo/EFO_0000483	0.518092318	everyone	NA
Frostbite	frostbite	http://www.ebi.ac.uk/efo/EFO_0009527	0.996114215	Overbite	http://www.ebi.ac.uk/efo/EFO_0009527	0.996114215	concussion	http://www.ebi.ac.uk/efo/EFO_0009527	0.996114215	Zak Thornton	Marina Vabistsevits
Gap coding: Looking after the home and/or family	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	0.30736887	Ewing sarcoma/peripheral primitive neuroectodermal tumor	http://www.ebi.ac.uk/efo/EFO_0000174	0.30736887	Familial long QT syndrome	http://www.ebi.ac.uk/efo/EFO_0000174	0.30736887	Samuel Neaves	Rebecca Carnegie
General happiness with own health	mental health	http://www.ebi.ac.uk/efo/EFO_0003935	0.422094197	healthspan	http://www.ebi.ac.uk/efo/EFO_0003935	0.422094197	mental or behavioural disorder	http://www.ebi.ac.uk/efo/EFO_0003935	0.422094197	Ryan Langdon	Maria Sobczyk-Barad
GFAP	Familial adenomatous polyposis	http://www.orpha.net/ORDO/Orphanet_733	0.605251937	Attenuated familial adenomatous polyposis	http://www.orpha.net/ORDO/Orphanet_733	0.605251937	IFAP syndrome	http://www.orpha.net/ORDO/Orphanet_733	0.605251937	Benjamin Woolf	Giulio Centorame
GIIE	COG7-CDG	http://www.orpha.net/ORDO/Orphanet_79333	0.422486786	Congenital non-bullous ichthyosiform erythroderma	http://www.orpha.net/ORDO/Orphanet_79333	0.422486786	Aniridia - cerebellar ataxia - intellectual disability	http://www.orpha.net/ORDO/Orphanet_79333	0.422486786	Zak Thornton	Marina Vabistsevits
Growth/differentiation factor 15	growth differentiation factor 15 measurement	http://www.ebi.ac.uk/efo/EFO_0009181	0.895297567	differentiated	http://www.ebi.ac.uk/efo/EFO_0009181	0.895297567	Genetic disorder of sex development	http://www.ebi.ac.uk/efo/EFO_0009181	0.895297567	Samuel Neaves	Rebecca Carnegie
Growth/differentiation factor 8	growth differentiation factor 15 measurement	http://www.ebi.ac.uk/efo/EFO_0009181	0.806703702	differentiated	http://www.ebi.ac.uk/efo/EFO_0009181	0.806703702	Genetic disorder of sex development	http://www.ebi.ac.uk/efo/EFO_0009181	0.806703702	Benjamin Woolf	Giulio Centorame
H6ST1	Best vitelliform macular dystrophy	http://www.orpha.net/ORDO/Orphanet_1243	0.315898987	NCI-H69	http://www.orpha.net/ORDO/Orphanet_1243	0.315898987	sulfotrasferase 1A1 measurement	http://www.orpha.net/ORDO/Orphanet_1243	0.315898987	Ryan Langdon	Maria Sobczyk-Barad
Hand grip strength (left)	grip strength measurement	http://www.ebi.ac.uk/efo/EFO_0006941	0.749781077	GRIP	http://www.ebi.ac.uk/efo/EFO_0006941	0.749781077	HIV-associated neurocognitive disorder	http://www.ebi.ac.uk/efo/EFO_0006941	0.749781077	Zak Thornton	Marina Vabistsevits
Health satisfaction	health satisfaction measurement	http://www.ebi.ac.uk/efo/EFO_0009724	0.872283944	job satisfaction measurement	http://www.ebi.ac.uk/efo/EFO_0009724	0.872283944	financial situation satisfaction measurement	http://www.ebi.ac.uk/efo/EFO_0009724	0.872283944	Zak Thornton	Marina Vabistsevits
Heart failure, not strict	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	0.773230284	mild heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	0.773230284	systolic heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	0.773230284	Samuel Neaves	Rebecca Carnegie
Hemiplegia	hemiplegia	http://www.ebi.ac.uk/efo/EFO_0009453	0.993960348	Episodic hemiplegia	http://www.ebi.ac.uk/efo/EFO_0009453	0.993960348	Alternating hemiplegia	http://www.ebi.ac.uk/efo/EFO_0009453	0.993960348	Samuel Neaves	Rebecca Carnegie
Hemojuvelin	hemojuvelin measurement	http://www.ebi.ac.uk/efo/EFO_0008148	0.84734057	Hemochromatosis type 2	http://www.ebi.ac.uk/efo/EFO_0008148	0.84734057	capillary hemangioma	http://www.ebi.ac.uk/efo/EFO_0008148	0.84734057	Benjamin Woolf	Giulio Centorame
hl.rand_norm(mean=pop_dict[mt.pop], seed=42)	seed structure	http://www.ebi.ac.uk/efo/EFO_0000991	0.48745372	Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_0000991	0.48745372	seedhead	http://www.ebi.ac.uk/efo/EFO_0000991	0.48745372	Zak Thornton	Marina Vabistsevits
HLA DR on plasmacytoid Dendritic Cell	blastic plasmacytoid dendritic cell neoplasm	http://www.ebi.ac.uk/efo/EFO_0010580	0.763839072	CD4+/CD56+ hematodermic neoplasm	http://www.ebi.ac.uk/efo/EFO_0010580	0.763839072	plasmacytoma	http://www.ebi.ac.uk/efo/EFO_0010580	0.763839072	Zak Thornton	Marina Vabistsevits
hnRNP K	Autosomal dominant limb-girdle muscular dystrophy type 1G	http://www.orpha.net/ORDO/Orphanet_55596	0.403884274	halo nevus	http://www.orpha.net/ORDO/Orphanet_55596	0.403884274	Huntington disease-like 1	http://www.orpha.net/ORDO/Orphanet_55596	0.403884274	Benjamin Woolf	Giulio Centorame
Home area population density - urban or rural: Scotland - Accessible Small Town	plant population	http://www.ebi.ac.uk/efo/EFO_0005228	0.33778565	Micrognathia	http://www.ebi.ac.uk/efo/EFO_0005228	0.33778565	population measurement	http://www.ebi.ac.uk/efo/EFO_0005228	0.33778565	Samuel Neaves	Rebecca Carnegie
Home location at assessment - east co-ordinate (rounded)	age at assessment	http://www.ebi.ac.uk/efo/EFO_0008007	0.526675955	HOMA-B	http://www.ebi.ac.uk/efo/EFO_0008007	0.526675955	HOMA-IR	http://www.ebi.ac.uk/efo/EFO_0008007	0.526675955	Ryan Langdon	Maria Sobczyk-Barad
