OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	mapper1	mapper2	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Destinations on discharge from hospital (recoded): Transfer within NHS provider	eye discharge	http://www.ebi.ac.uk/efo/EFO_0010678	0.421582697	vaginal discharge	http://www.ebi.ac.uk/efo/EFO_0009365	0.325012837	biomaterial provider	http://www.ebi.ac.uk/efo/EFO_0001729	0.295724163	Zak Thornton	Marina Vabistsevits							
Diagnoses - main ICD10: C20 Malignant neoplasm of rectum	rectum cancer	http://www.ebi.ac.uk/efo/EFO_1000657	0.717918118	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	0.605543297	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	0.601355988	Benjamin Woolf	Giulio Centorame							
Diagnoses - main ICD10: G57 Mononeuropathies of lower limb	diabetic neuropathy	http://www.ebi.ac.uk/efo/EFO_1000783	0.524724757	mononeuropathy	http://www.ebi.ac.uk/efo/EFO_0009558	0.476470083	Lower limb pain	http://purl.obolibrary.org/obo/HP_0012514	0.443311798	Ryan Langdon	Maria Sobczyk-Barad							
Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	Thrombophlebitis	http://purl.obolibrary.org/obo/HP_0004418	0.842112413	Phlebitis	http://www.ebi.ac.uk/efo/EFO_1001395	0.799197782	Recurrent thrombophlebitis	http://purl.obolibrary.org/obo/HP_0004419	0.70357763	Ryan Langdon	Maria Sobczyk-Barad							
Diagnoses - main ICD10: K29.6 Other gastritis	gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	0.518534397	chronic gastritis	http://www.ebi.ac.uk/efo/EFO_0000337	0.518534397	atrophic gastritis	http://www.ebi.ac.uk/efo/EFO_1000826	0.377606776	Samuel Neaves	Rebecca Carnegie							
Diagnoses - main ICD10: K61.0 Anal abscess	abscess	http://www.ebi.ac.uk/efo/EFO_0003030	0.513520424	Tooth abscess	http://purl.obolibrary.org/obo/HP_0030757	0.453976641	Cutaneous abscess	http://purl.obolibrary.org/obo/HP_0031292	0.451684796	Zak Thornton	Marina Vabistsevits							
Diagnoses - main ICD10: M70 Soft tissue disorders related to use, overuse and pressure	soft tissue disease	http://www.ebi.ac.uk/efo/EFO_0009470	0.495581656	Soft Tissue Neoplasm	http://www.ebi.ac.uk/efo/EFO_1000541	0.43056428	soft tissue sarcoma	http://www.ebi.ac.uk/efo/EFO_1001968	0.405486577	Ryan Langdon	Maria Sobczyk-Barad							
Diagnoses - main ICD10: N19 Unspecified renal failure	Renal insufficiency	http://purl.obolibrary.org/obo/HP_0000083	0.566494175	kidney failure	http://www.ebi.ac.uk/efo/EFO_1002048	0.566494175	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	0.537540967	Zak Thornton	Marina Vabistsevits							
Diagnoses - main ICD10: N81.2 Incomplete uterovaginal prolapse	uterine prolapse	http://www.ebi.ac.uk/efo/EFO_1001864	0.435726936	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	0.416701322	uterovaginal malformation	http://purl.obolibrary.org/obo/MONDO_0015828	0.413666273	everyone	NA							
Diagnoses - main ICD10: O63 Long labour	Braxton-Hicks contractions	http://www.ebi.ac.uk/efo/EFO_0009639	0.397122579	date of diagnosis	http://www.ebi.ac.uk/efo/EFO_0004953	0.264393402	age at diagnosis	http://www.ebi.ac.uk/efo/EFO_0004918	0.26033261	Benjamin Woolf	Giulio Centorame							
Diagnoses - main ICD10: Z08.0 Follow-up examination after surgery for malignant neoplasm	childhood cancer	http://www.ebi.ac.uk/efo/EFO_1000654	0.456717992	cancer	http://www.ebi.ac.uk/efo/EFO_0000311	0.456717992	brain cancer	http://purl.obolibrary.org/obo/MONDO_0001657	0.414089873	Samuel Neaves	Rebecca Carnegie							
Diagnoses - secondary ICD10: D50.9 Iron deficiency anaemia, unspecified	Iron deficiency anemia	http://purl.obolibrary.org/obo/HP_0001891	0.636419803	deficiency anemia	http://purl.obolibrary.org/obo/MONDO_0001639	0.584333834	IRIDA syndrome	http://www.orpha.net/ORDO/Orphanet_209981	0.41845998	Ryan Langdon	Maria Sobczyk-Barad							
Diagnoses - secondary ICD10: I25.9 Chronic ischaemic heart disease, unspecified	Myocardial Ischemia	http://www.ebi.ac.uk/efo/EFO_1001375	0.495544804	chronic disease	http://www.ebi.ac.uk/efo/EFO_0009714	0.463421751	chronic pulmonary heart disease	http://purl.obolibrary.org/obo/MONDO_0001493	0.43700037	Benjamin Woolf	Giulio Centorame							
Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)	secondary Parkinson disease	http://www.ebi.ac.uk/efo/EFO_1001175	0.446008055	gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	0.442466725	unspecified juvenile idiopathic arthritis	http://www.ebi.ac.uk/efo/EFO_0009734	0.439974074	Benjamin Woolf	Giulio Centorame							
Diagnoses - secondary ICD10: N84.0 Polyp of corpus uteri	uterine polyp	http://www.ebi.ac.uk/efo/EFO_0009484	0.652479754	corpus uteri neoplasm	http://purl.obolibrary.org/obo/MONDO_0021254	0.458696903	uterine sarcoma	http://www.ebi.ac.uk/efo/EFO_0002914	0.429265985	Benjamin Woolf	Giulio Centorame							
Diagnoses - secondary ICD10: R51 Headache	Headache	http://purl.obolibrary.org/obo/HP_0002315	0.557800145	headache disorder	http://www.ebi.ac.uk/efo/EFO_0009550	0.48866554	migraine disorder	http://www.ebi.ac.uk/efo/EFO_0003821	0.442638945	Ryan Langdon	Maria Sobczyk-Barad							
Disorders of eyelid in diseases classified elsewhere	eyelid disease	http://www.ebi.ac.uk/efo/EFO_0009547	0.65123013	cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000318	0.628042626	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.603535447	Ryan Langdon	Maria Sobczyk-Barad							
Drug-induced obesity	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	0.639355426	drug-induced lupus erythematosus	http://purl.obolibrary.org/obo/MONDO_0016474	0.621557676	drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004228	0.593173846	Samuel Neaves	Rebecca Carnegie							
E3 ubiquitin-protein ligase RNF34	Multiple acyl-CoA dehydrogenase deficiency	http://www.orpha.net/ORDO/Orphanet_26791	0.294808329	prion disease	http://www.ebi.ac.uk/efo/EFO_0004720	0.277846497	LIG4 syndrome	http://www.orpha.net/ORDO/Orphanet_99812	0.276715374	Benjamin Woolf	Giulio Centorame							
EN-RAGE levels	serum IgE measurement	http://www.ebi.ac.uk/efo/EFO_0004579	0.59139713	estrogen measurement	http://www.ebi.ac.uk/efo/EFO_0011007	0.552911688	antinuclear antibody measurement	http://www.ebi.ac.uk/efo/EFO_0005949	0.547301559	Benjamin Woolf	Giulio Centorame							
Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Oligosaccharidosis	http://www.orpha.net/ORDO/Orphanet_79215	0.467290491	Alpha-mannosidosis	http://www.orpha.net/ORDO/Orphanet_61	0.4512543	Endoplasmic Reticulum Stress	http://www.ebi.ac.uk/efo/EFO_1001886	0.415549583	Ryan Langdon	Maria Sobczyk-Barad							
Endoplasmin	Endoplasmic Reticulum Stress	http://www.ebi.ac.uk/efo/EFO_1001886	0.559925064	endoplasmic reticulum aminopeptidase 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008119	0.461541894	endocrine neoplasm	http://www.ebi.ac.uk/efo/EFO_0003769	0.42176945	Zak Thornton	Marina Vabistsevits							
Eosinophilia	Eosinophilia	http://purl.obolibrary.org/obo/HP_0001880	0.987630559	eosinophilic pneumonia	http://www.ebi.ac.uk/efo/EFO_0007257	0.748039849	Chronic Eosinophilic Leukemia, Not Otherwise Specified	http://www.ebi.ac.uk/efo/EFO_1000178	0.730141132	Benjamin Woolf	Giulio Centorame							
Ephrin-A3	perinephritis	http://www.ebi.ac.uk/efo/EFO_1001099	0.405295508	nephritis	http://www.ebi.ac.uk/efo/EFO_1002050	0.398604877	lupus nephritis	http://www.ebi.ac.uk/efo/EFO_0005761	0.32295345	Ryan Langdon	Maria Sobczyk-Barad							
Epiandrosterone sulfate	cortisol:DHEAS ratio measurement	http://www.ebi.ac.uk/efo/EFO_0010239	0.576977745	dehydroepiandrosterone sulphate measurement	http://www.ebi.ac.uk/efo/EFO_0007001	0.544402818	dehydroepiandrosterone measurement	http://www.ebi.ac.uk/efo/EFO_0010240	0.511671577	Zak Thornton	Marina Vabistsevits							
epidermal growth factor	epidermal growth factor	http://www.ebi.ac.uk/efo/EFO_0003298	0.987575443	epidermal growth factor measurement	http://www.ebi.ac.uk/efo/EFO_0010947	0.847562704	Lipodystrophy due to peptidic growth factors deficiency	http://www.orpha.net/ORDO/Orphanet_1979	0.557243433	Zak Thornton	Marina Vabistsevits							
Ever sought or received professional help for mental distress	Fetal distress	http://purl.obolibrary.org/obo/HP_0025116	0.312987805	depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002050	0.307782717	mental process	http://www.ebi.ac.uk/efo/EFO_0004323	0.299522798	Benjamin Woolf	Giulio Centorame							
External causes: X59.9 Unspecified place	infectious meningitis	http://www.ebi.ac.uk/efo/EFO_0000584	0.479920881	respiratory system disease	http://www.ebi.ac.uk/efo/EFO_0000684	0.452373245	lip cancer	http://www.ebi.ac.uk/efo/EFO_1001019	0.446290714	Samuel Neaves	Rebecca Carnegie							
FABPE	diastolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006336	0.34790101	acute myeloblastic leukemia without maturation	http://www.ebi.ac.uk/efo/EFO_0003027	0.336837319	acute myeloblastic leukemia with maturation	http://www.ebi.ac.uk/efo/EFO_0003028	0.332640078	Ryan Langdon	Maria Sobczyk-Barad							
FACT complex subunit SSRP1	complex trait	http://www.ebi.ac.uk/efo/EFO_0010578	0.4060233	preeclampsia	http://www.ebi.ac.uk/efo/EFO_0000668	0.382648983	Pyruvate dehydrogenase E1-beta deficiency	http://www.orpha.net/ORDO/Orphanet_255138	0.368396972	Samuel Neaves	Rebecca Carnegie							
Fall on same level	fall	http://www.ebi.ac.uk/efo/EFO_0009631	0.552730109	Benign adult familial myoclonic epilepsy	http://www.orpha.net/ORDO/Orphanet_86814	0.399509063	resistin measurement	http://www.ebi.ac.uk/efo/EFO_0004819	0.389212182	Benjamin Woolf	Giulio Centorame							
FGF23	fibroblast growth factor 23 measurement	http://www.ebi.ac.uk/efo/EFO_0009381	0.852477581	fgfr2 related craniosynostosis	http://www.ebi.ac.uk/efo/EFO_0009141	0.242048874	Syndactyly type 8	http://www.orpha.net/ORDO/Orphanet_2498	0.241272002	Zak Thornton	Marina Vabistsevits							
Fibroblast growth factor 8 isoform A	basic fibroblast growth factor	http://www.ebi.ac.uk/efo/EFO_0003316	0.71677293	fibroblast growth factor 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008129	0.685077588	fibroblast growth factor 5 measurement	http://www.ebi.ac.uk/efo/EFO_0010784	0.679212099	Benjamin Woolf	Giulio Centorame							
Ficolin-2	ficolin-1 measurement	http://www.ebi.ac.uk/efo/EFO_0008134	0.517662292	ficolin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0008135	0.506353256	Ficoll-Hypaque method	http://www.ebi.ac.uk/efo/EFO_0009110	0.4260666	Zak Thornton	Marina Vabistsevits							
Flt3 ligand	fms related receptor tyrosine kinase-3 ligand measurement	http://www.ebi.ac.uk/efo/EFO_0010785	0.4988787	Fms-related tyrosine kinase 3 ligand measurement	http://www.ebi.ac.uk/efo/EFO_0010594	0.4988787	MOLT-3	http://www.ebi.ac.uk/efo/EFO_0005265	0.455004829	Zak Thornton	Marina Vabistsevits							
G56 Mononeuropathies of upper limb	mononeuropathy	http://www.ebi.ac.uk/efo/EFO_0009558	0.561343632	diabetic neuropathy	http://www.ebi.ac.uk/efo/EFO_1000783	0.558714981	neuritis of upper limb	http://purl.obolibrary.org/obo/MONDO_0003607	0.535534895	Zak Thornton	Marina Vabistsevits							
galanin and GMAP prepropeptide	galanin peptides measurement	http://www.ebi.ac.uk/efo/EFO_0010615	0.512547549	mean arterial pressure	http://www.ebi.ac.uk/efo/EFO_0006340	0.342820742	MUTYH-related attenuated familial adenomatous polyposis	http://www.orpha.net/ORDO/Orphanet_247798	0.342820742	Benjamin Woolf	Giulio Centorame							
Galectin-2	galectin-3 measurement	http://www.ebi.ac.uk/efo/EFO_0008137	0.529296819	galectin-3-binding protein measurement	http://www.ebi.ac.uk/efo/EFO_0010241	0.406480829	Galactose epimerase deficiency	http://www.orpha.net/ORDO/Orphanet_79238	0.404505719	Benjamin Woolf	Giulio Centorame							
Gas or solid-fuel cooking/heating: None of the above	AB SOLiD System	http://www.ebi.ac.uk/efo/EFO_0004435	0.285346096	AB SOLiD 4 System	http://www.ebi.ac.uk/efo/EFO_0004438	0.270617397	binge eating	http://www.ebi.ac.uk/efo/EFO_0005924	0.25972135	Benjamin Woolf	Giulio Centorame							
Gastro-oesophageal reflux disease	gastroesophageal reflux disease	http://www.ebi.ac.uk/efo/EFO_0003948	0.933525171	gastroesophageal disease	http://purl.obolibrary.org/obo/MONDO_0015111	0.744141347	peptic esophagitis	http://www.ebi.ac.uk/efo/EFO_1001095	0.680250708	Zak Thornton	Marina Vabistsevits							
GdT:%CM (2)	cutaneous mastocytosis	http://www.ebi.ac.uk/efo/EFO_1000886	0.60353371	SC	http://www.ebi.ac.uk/efo/EFO_0007029	0.60353371	hypertrophic cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0000538	0.26194064	Samuel Neaves	Rebecca Carnegie							
Glycated haemoglobin	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	0.725242376	Abnormal hemoglobin	http://purl.obolibrary.org/obo/HP_0011902	0.667256876	hemoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004509	0.654014459	Benjamin Woolf	Giulio Centorame							
Glycated hemoglobin levels	HbA1c measurement	http://www.ebi.ac.uk/efo/EFO_0004541	0.9888253	fetal hemoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004576	0.729959276	hemoglobin A1 measurement	http://www.ebi.ac.uk/efo/EFO_0007629	0.717807997	Samuel Neaves	Rebecca Carnegie							
GPC2	IPC-298	http://www.ebi.ac.uk/efo/EFO_0006447	0.263737761	PAC2	http://www.ebi.ac.uk/efo/EFO_0001224	0.252440853	MEC2	http://www.ebi.ac.uk/efo/EFO_0006285	0.24619478	Ryan Langdon	Maria Sobczyk-Barad							
Granulocyte colony-stimulating factor	granulocyte colony-stimulating factor measurement	http://www.ebi.ac.uk/efo/EFO_0008142	0.788072267	colony stimulating factor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010775	0.687799015	macrophage colony stimulating factor measurement	http://www.ebi.ac.uk/efo/EFO_0008217	0.614778186	Benjamin Woolf	Giulio Centorame							
Grapefruit juice intake	grapefruit juice consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010094	0.743774917	non-grapefruit juice consumption measurement	http://www.ebi.ac.uk/efo/EFO_0010095	0.674010198	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.26955189	Samuel Neaves	Rebecca Carnegie							
Growth-regulated protein alpha levels	growth-regulated alpha protein measurement	http://www.ebi.ac.uk/efo/EFO_0008146	0.727819245	protein measurement	http://www.ebi.ac.uk/efo/EFO_0004747	0.535497521	melanoma-derived growth regulatory protein measurement	http://www.ebi.ac.uk/efo/EFO_0008229	0.506960639	Samuel Neaves	Rebecca Carnegie							
Guanylate cyclase activator 2B	Chronic diarrhea due to guanylate cyclase 2C overactivity	http://www.orpha.net/ORDO/Orphanet_314373	0.53098778	Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency	http://www.orpha.net/ORDO/Orphanet_314376	0.497626493	Multiple endocrine neoplasia type 2B	http://www.orpha.net/ORDO/Orphanet_247709	0.345296621	Ryan Langdon	Maria Sobczyk-Barad							
HCC-1	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	0.959656011	HCC0012	http://www.ebi.ac.uk/efo/EFO_0006416	0.492769441	HCC15	http://www.ebi.ac.uk/efo/EFO_0003129	0.472190231	Benjamin Woolf	Giulio Centorame							
HCK	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	0.351306172	hepatocellular adenoma	http://www.ebi.ac.uk/efo/EFO_0000762	0.311844724	high content analysis of cells	http://www.ebi.ac.uk/efo/EFO_0005397	0.311844724	Ryan Langdon	Maria Sobczyk-Barad							
Heel bone mineral density (BMD) (left)	heel bone mineral density	http://www.ebi.ac.uk/efo/EFO_0009270	0.978259937	bone density	http://www.ebi.ac.uk/efo/EFO_0003923	0.844853176	spine bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007701	0.761082242	Samuel Neaves	Rebecca Carnegie							
Hereditary deficiency of other clotting factors	Congenital factor X deficiency	http://www.orpha.net/ORDO/Orphanet_328	0.711230827	Congenital factor V deficiency	http://www.orpha.net/ORDO/Orphanet_326	0.702578071	Hereditary combined deficiency of vitamin K-dependent clotting factors	http://www.orpha.net/ORDO/Orphanet_98434	0.69013889	Benjamin Woolf	Giulio Centorame							
Hernia	Hernia	http://purl.obolibrary.org/obo/HP_0100790	0.985467767	ventral hernia	http://www.ebi.ac.uk/efo/EFO_1001866	0.717785865	Hiatus hernia	http://purl.obolibrary.org/obo/HP_0002036	0.713393458	Benjamin Woolf	Giulio Centorame							
High light scatter reticulocyte percentage	Reticulocyte Mean Corpuscular Hemoglobin Measurement	http://www.ebi.ac.uk/efo/EFO_0009202	0.993925728	monocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007989	0.501930381	lymphocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007993	0.478038739	Benjamin Woolf	Giulio Centorame							
HLA DR on B cell	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	0.426042292	B cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0001640	0.424012162	Okihiro syndrome	http://www.orpha.net/ORDO/Orphanet_93293	0.402150075	Ryan Langdon	Maria Sobczyk-Barad							
HLA DR on HLA DR+ CD4+ T cell	Okihiro syndrome	http://www.orpha.net/ORDO/Orphanet_93293	0.446611513	Immunodeficiency by defective expression of HLA class 1	http://www.orpha.net/ORDO/Orphanet_34592	0.419711104	Immunodeficiency by defective expression of HLA class 2	http://www.orpha.net/ORDO/Orphanet_572	0.318669939	Benjamin Woolf	Giulio Centorame							
HLA DR on myeloid Dendritic Cell	dendritic cell tumor	http://purl.obolibrary.org/obo/MONDO_0020082	0.535062024	myeloid neoplasm	http://www.ebi.ac.uk/efo/EFO_0002427	0.492245244	dendritic cell sarcoma	http://purl.obolibrary.org/obo/MONDO_0004380	0.491757164	Ryan Langdon	Maria Sobczyk-Barad							
HLA DR+ CD4+ T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.408519623	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.390542516	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.374325481	Zak Thornton	Marina Vabistsevits							
HMG-1	HMG CoA reductase inhibitor use measurement	http://www.ebi.ac.uk/efo/EFO_0009932	0.445338615	3-hydroxy-3-methylglutaric aciduria	http://www.orpha.net/ORDO/Orphanet_20	0.374146627	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	http://www.orpha.net/ORDO/Orphanet_35701	0.368772535	Samuel Neaves	Rebecca Carnegie							
HVEM on naive CD4+ T cell	stem cell derived cell line	http://www.ebi.ac.uk/efo/EFO_0002886	0.310686763	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.309844091	T-cell non-Hodgkin lymphoma	http://purl.obolibrary.org/obo/MONDO_0015760	0.271877729	Samuel Neaves	Rebecca Carnegie							
Hydroxymethylglutaryl-CoA synthase, mitochondrial	3-hydroxy-3-methylglutaric aciduria	http://www.orpha.net/ORDO/Orphanet_20	0.609919178	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	http://www.orpha.net/ORDO/Orphanet_35701	0.553196899	Mitochondrial disease	http://www.orpha.net/ORDO/Orphanet_68380	0.462959735	Zak Thornton	Marina Vabistsevits							
Hypertrophy of breast	Breast hypertrophy	http://purl.obolibrary.org/obo/HP_0010313	0.965817277	hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002460	0.833581496	hyperostosis	http://purl.obolibrary.org/obo/MONDO_0002185	0.719034095	Zak Thornton	Marina Vabistsevits							
IgD on IgD+ CD38-  B cell	Hyperimmunoglobulinemia D with periodic fever	http://www.orpha.net/ORDO/Orphanet_343	0.430337497	Gaucher disease type 1	http://www.orpha.net/ORDO/Orphanet_77259	0.303957167	Gaucher disease type 2	http://www.orpha.net/ORDO/Orphanet_77260	0.287537674	Benjamin Woolf	Giulio Centorame							
IgD on IgD+ CD38dim B cell	Hyperimmunoglobulinemia D with periodic fever	http://www.orpha.net/ORDO/Orphanet_343	0.384453745	Gaucher disease type 1	http://www.orpha.net/ORDO/Orphanet_77259	0.271548428	Gaucher disease type 2	http://www.orpha.net/ORDO/Orphanet_77260	0.256879626	Ryan Langdon	Maria Sobczyk-Barad							
IgD- CD24- B cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.414721976	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.396471931	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.380008681	Samuel Neaves	Rebecca Carnegie							
IGF-like family receptor 1	leukocyte immunoglobulin-like receptor subfamily B member 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008208	0.407172077	tumor necrosis factor receptor superfamily member 6 measurement	http://www.ebi.ac.uk/efo/EFO_0010610	0.40625089	tumor necrosis factor receptor superfamily member 9 measurement	http://www.ebi.ac.uk/efo/EFO_0010802	0.405677977	Zak Thornton	Marina Vabistsevits							
IL-5 Ra	refractory anemia	http://www.ebi.ac.uk/efo/EFO_0003802	0.632053612	rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	0.632053612	enthesitis-related juvenile idiopathic arthritis	http://www.ebi.ac.uk/efo/EFO_0009732	0.328343582	Samuel Neaves	Rebecca Carnegie							
Illness, injury, bereavement, stress in last 2 years: Financial difficulties	Gait disturbance	http://purl.obolibrary.org/obo/HP_0001288	0.365745722	psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0002025	0.353459314	Feeding difficulties	http://purl.obolibrary.org/obo/HP_0011968	0.351464856	Ryan Langdon	Maria Sobczyk-Barad							
Illnesses of adopted siblings: None of the above (group 1)	number of siblings	http://www.ebi.ac.uk/efo/EFO_0009713	0.422696949	psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0002025	0.300210155	number of non-cancer illnesses, self-reported	http://www.ebi.ac.uk/efo/EFO_0009801	0.289108007	Ryan Langdon	Maria Sobczyk-Barad							
Illnesses of siblings: None of the above (group 1)	number of siblings	http://www.ebi.ac.uk/efo/EFO_0009713	0.489843581	psychiatric disorder	http://purl.obolibrary.org/obo/MONDO_0002025	0.347899406	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	0.312306283	Zak Thornton	Marina Vabistsevits							
Impingement syndrome of shoulder	shoulder impingement syndrome	http://www.ebi.ac.uk/efo/EFO_1001178	0.958341716	syndromic disease	http://purl.obolibrary.org/obo/MONDO_0002254	0.51988842	Shoulder pain	http://purl.obolibrary.org/obo/HP_0030834	0.484461181	Samuel Neaves	Rebecca Carnegie							
Impotence	erectile dysfunction	http://www.ebi.ac.uk/efo/EFO_0004234	0.987192201	Impotence	http://purl.obolibrary.org/obo/HP_0000802	0.987192201	vasculogenic impotence	http://www.ebi.ac.uk/efo/EFO_1001234	0.694343786	Benjamin Woolf	Giulio Centorame							
Injury of muscle and tendon at hip and thigh level	Proximal lower limb amyotrophy	http://purl.obolibrary.org/obo/HP_0008956	0.536777701	injury	http://www.ebi.ac.uk/efo/EFO_0000546	0.419019173	muscular disease	http://www.ebi.ac.uk/efo/EFO_0002970	0.409993311	Benjamin Woolf	Giulio Centorame							
Insulin	pancreatic insulinoma	http://purl.obolibrary.org/obo/MONDO_0024677	0.85853555	insulinoma	http://www.ebi.ac.uk/efo/EFO_0000549	0.85853555	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	0.734340888	Benjamin Woolf	Giulio Centorame							
Insulin-like growth factor-binding protein 1	IGFBP-3 measurement	http://www.ebi.ac.uk/efo/EFO_0004626	0.826107228	insulin-like growth factor-binding protein 7 measurement	http://www.ebi.ac.uk/efo/EFO_0008161	0.74981443	insulin like growth factor measurement	http://www.ebi.ac.uk/efo/EFO_0004628	0.731188252	Benjamin Woolf	Giulio Centorame							
Interleukin-12 subunit B levels	interleukin-12 subunit B measurement	http://www.ebi.ac.uk/efo/EFO_0010787	0.684264336	interleukin 12 receptor subunit beta-1 measurement	http://www.ebi.ac.uk/efo/EFO_0008170	0.631189509	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.619666057	Ryan Langdon	Maria Sobczyk-Barad							
Interleukin-17 levels	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.743395635	interleukin 18 measurement	http://www.ebi.ac.uk/efo/EFO_0004581	0.723231874	interleukin 17 measurement	http://www.ebi.ac.uk/efo/EFO_0008174	0.710976386	Benjamin Woolf	Giulio Centorame							
Interleukin-17A	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.738707946	interleukin 17 measurement	http://www.ebi.ac.uk/efo/EFO_0008174	0.624279319	interleukin 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008331	0.569537204	Benjamin Woolf	Giulio Centorame							
Interleukin-25	interleukin	http://www.ebi.ac.uk/efo/EFO_0004100	0.860897023	interleukin 25 measurement	http://www.ebi.ac.uk/efo/EFO_0008182	0.835234418	interleukin 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008331	0.663743888	Benjamin Woolf	Giulio Centorame							
Interleukin-7 receptor subunit alpha	interleukin 7 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008190	0.911643063	interleukin 5 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008186	0.866049059	interleukin 6 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008187	0.864286293	Benjamin Woolf	Giulio Centorame							
Isobutyrylcarnitine	Isobutyryl-CoA dehydrogenase deficiency	http://www.orpha.net/ORDO/Orphanet_79159	0.473722643	acylcarnitine measurement	http://www.ebi.ac.uk/efo/EFO_0005059	0.469775831	Carnitine-acylcarnitine translocase deficiency	http://www.orpha.net/ORDO/Orphanet_159	0.454141316	Samuel Neaves	Rebecca Carnegie							
Job coding: other science technician, materials technician, technical assistant, technical officer	technician	http://www.ebi.ac.uk/efo/EFO_0009739	0.872618691	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	0.663476505	clinical laboratory measurement	http://www.ebi.ac.uk/efo/EFO_0004297	0.492686395	Zak Thornton	Marina Vabistsevits							
Job coding: personnel, human resources, training or industrial relations manager/director, recruitment manager/director	contraception	http://www.ebi.ac.uk/efo/EFO_0009520	0.28512869	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.277885743	Nager syndrome	http://www.orpha.net/ORDO/Orphanet_245	0.261156225	everyone	NA							
Job coding: police officer (sergeant or below)	ICE	http://www.ebi.ac.uk/efo/EFO_0008773	0.388794651	Autosomal dominant hyper-IgE syndrome	http://www.orpha.net/ORDO/Orphanet_2314	0.336850373	Iridocorneal endothelial syndrome	http://www.orpha.net/ORDO/Orphanet_64734	0.305388924	Zak Thornton	Marina Vabistsevits							
