PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
,Types of spreads/sauces consumed: Brown sauce,INTACT,Good,EFO_0010037,
disease,Other disorders of bladder,bladder disease,High,EFO_1000018,
disease,Dyspepsia,dyspepsia,High,EFO_0008533,
,Cheesy biscuits intake,energy intake,Medium,EFO_0003939,
,Cheesy biscuits intake,fish consumption measurement,Medium,EFO_0010139,
,Non-cancer illness code  self-reported: malabsorption/coeliac disease,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: malabsorption/coeliac disease,celiac disease,Medium,EFO_0001060,
,Job coding: civil service senior manager outside the senior civil service (former grades 6 and 7),Senior-Loken syndrome,Medium,Orphanet_3156,
,Job coding: civil service senior manager outside the senior civil service (former grades 6 and 7),Senior-Boichis syndrome,Medium,Orphanet_84081,
disease,Other spondylosis (Cervical region),cervical spondylosis,Medium,EFO_0009610,
disease,Other spondylosis (Cervical region),spondyloarthropathy,Medium,EFO_0000706,
,Illnesses of mother: Heart disease,heart disease,Medium,EFO_0003777,
,Illnesses of mother: Heart disease,congenital heart disease,Medium,EFO_0005207,
,"Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia",preeclampsia,Medium,EFO_0000668,
,"Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Feelings of worthlessness during worst period of depression,period of infection,Good,EFO_0000648,
,"Non-cancer illness code, self-reported: gastric/stomach ulcers","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: gastric/stomach ulcers",stomach neoplasm,Medium,EFO_0003897,
,Fish consumer,fish consumption measurement,Good,EFO_0010139,
,Why stopped smoking: None of the above,smoking behavior,Medium,EFO_0004318,
,Why stopped smoking: None of the above,smoking initiation,Medium,EFO_0005670,
disease,Adjustment and management of implanted device,encounter with health service,High,EFO_0009786,
,"PCT responsible for patient data: HEYWOOD, MIDDLETON AND ROCHDALE PCT",N/A,Did not map,N/A,
,Vitamin and mineral supplements: Vitamin E,N/A,Did not map,N/A,
disease,Other specified disorders of eyelid,glaucoma,Medium,EFO_0000516,
disease,Other specified disorders of eyelid,digestive system disease,Medium,EFO_0000405,
,Unstable angina pectoris,angina pectoris,Medium,EFO_0003913,
,Unstable angina pectoris,Prinzmetal's angina,Medium,EFO_1000013,
disease,Saphenous vein graft replacement of two coronary arteries,coronary aneurysm,Medium,EFO_1000881,
disease,Saphenous vein graft replacement of two coronary arteries,coronary artery disease,Medium,EFO_0000378,
,Main speciality of consultant (recoded): Rheumatology,consultant,Good,EFO_0001732,
disease,Surgical removal of retained root of tooth,root caries,Good,EFO_1001163,
disease,Duodenitis,gastritis,Good,EFO_0000217,
,PCT where patients GP was registered: HILLINGDON PCT,platelet crit,Good,EFO_0007985,
,Type of fat/oil used in cooking: Normal fat butter,low fat diet,Good,EFO_0002758,
,Poultry intake,energy intake,Medium,EFO_0003939,
,Poultry intake,fish consumption measurement,Medium,EFO_0010139,
disease,Biopsy of lesion of organ NOC,pulmonary coin lesion,Good,EFO_1001133,
,Length of menstrual cycle,menstrual cycle measurement,High,EFO_0007786,
,Types of spread used on bread/crackers: Soya margarine on bread/crackers,depends on,Medium,RO_0002502,
,Types of spread used on bread/crackers: Soya margarine on bread/crackers,Episcleritis,Medium,HP_0100534,
disease,Haemorrhage of anus and rectum,digestive system disease,Good,EFO_0000405,
disease,Unspecified haematuria,Hematuria,High,HP_0000790,
,Duration of vigorous activity,duration,Good,EFO_0000433,
disease,Colposcopy of vagina,Vaginal Melanoma,Good,EFO_1000619,
disease,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",Lambert syndrome,Medium,Orphanet_1296,
disease,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",Marfanoid habitus - inguinal hernia - advanced bone age,Medium,Orphanet_314041,
,Unsalted nuts intake,energy intake,Medium,EFO_0003939,
,Unsalted nuts intake,nut allergic reaction,Medium,EFO_1001066,
,Portion size,size,Good,EFO_0001695,
disease,Right sided operation,congenital left-sided heart lesions,Medium,EFO_0005938,
disease,Right sided operation,ulcerative colitis,Medium,EFO_0000729,
disease,Open wound of head,head injury,High,EFO_0009505,
disease,Old myocardial infarction,myocardial infarction,Medium,EFO_0000612,
disease,Old myocardial infarction,anterolateral myocardial infarction,Medium,EFO_1000812,
,Vitamin and/or mineral supplement use: Selenium,vitamin supplement exposure measurement,Good,EFO_0009116,
disease,Personal history of other neoplasms,Sublingual Gland Neoplasms,Medium,EFO_1001430,
disease,Personal history of other neoplasms,femoral cancer,Medium,EFO_0007270,
,Suffer from 'nerves',Nervousness,High,NCIT_C74532,
,Sleep duration,sleep duration,High,EFO_0005271,
,Number of days/week of vigorous physical activity 10+ minutes,physical activity,Good,EFO_0003940,
,Which eye(s) affected by myopia (short sight): Right eye,X-linked cone dysfunction syndrome with myopia,Medium,Orphanet_90001,
,Which eye(s) affected by myopia (short sight): Right eye,eye,Medium,UBERON_0000970,
,PCT where patients GP was registered: SURREY PCT,platelet crit,Good,EFO_0007985,
,Manifestations of mania or irritability: I was more creative or had more ideas than usual,Usual Ductal Breast Hyperplasia,Good,EFO_1000612,
disease,Cellulitis of other parts of limb,cellulitis,Medium,EFO_0003035,
disease,Cellulitis of other parts of limb,Ludwig's angina,Medium,EFO_1000730,
disease,Chronic sinusitis,sinusitis,High,EFO_0007486,
,6mm index of best keratometry results (left),left ventricular mass index,Medium,EFO_0009290,
,6mm index of best keratometry results (left),activities of daily living score measurement,Medium,EFO_0008451,
treatment,rosuvastatin,CN236613,Medium,CN236613,
treatment,rosuvastatin,CN236620,Medium,CN236620,
treatment,rosuvastatin,CN236578,Medium,CN236578,
treatment,tegretol 100mg tablet,N/A,Did not map,N/A,
,Main speciality of consultant (recoded): Clinical haematology,consultant,Good,EFO_0001732,
disease,Malignant neoplasm of prostate,prostate carcinoma,High,EFO_0001663,
disease,Supraventricular tachycardia,Supraventricular tachycardia,High,HP_0004755,
treatment,amitriptyline,CN236466,Medium,CN236466,
treatment,amitriptyline,amitriptyline,Medium,CHEBI_2666,
treatment,amitriptyline,CN236467,Medium,CN236467,
,PCT responsible for patient data: HAMPSHIRE PCT,platelet crit,Good,EFO_0007985,
,Recent medication for hayfever or allergic rhinitis,seasonal allergic rhinitis,Medium,EFO_0003956,
,Recent medication for hayfever or allergic rhinitis,allergic rhinitis,Medium,EFO_0005854,
treatment,evening primrose oil,Intellectual disability-cataracts-calcified pinnae-myopathy syndrome,Medium,Orphanet_3042,
treatment,evening primrose oil,monolayer-surrounded lipid storage body,Medium,GO_0012511,
disease,Iron deficiency anaemia,Iron deficiency anemia,High,HP_0001891,
,Malignant neoplasm of colon,colon carcinoma,High,EFO_1001950,
,Liver intake,energy intake,Good,EFO_0003939,
,Ever had breast cancer screening / mammogram,susceptibility to breast cancer,Good,EFO_0009649,
disease,Other disorders of eyelid,eyelid disease,High,EFO_0009547,
,Episodal and paroxysmal disorders,N/A,Did not map,N/A,
,Coffee consumed,Coffea,Medium,NCBITaxon_13442,
,Coffee consumed,Coffea arabica,Medium,NCBITaxon_13443,
,3mm asymmetry index (left),left ventricular mass index,Good,EFO_0009290,
,Sweets intake,sugar consumption measurement,Good,EFO_0010158,
,COPD differential diagnosis,discretized differential expression,Medium,EFO_0004034,
,COPD differential diagnosis,age at alcohol diagnosis,Medium,EFO_0005602,
,Vegetarian alternatives intake,energy intake,Medium,EFO_0003939,
,Vegetarian alternatives intake,fish consumption measurement,Medium,EFO_0010139,
,Types of transport used (excluding work): Public transport,Disorder of manganese transport,Medium,Orphanet_309851,
,Types of transport used (excluding work): Public transport,carbohydrate transport disease,Medium,MONDO_0045015,
disease,Incomplete uterovaginal prolapse,non-syndromic uterovaginal malformation,Medium,MONDO_0015829,
disease,Incomplete uterovaginal prolapse,uterovaginal malformation,Medium,MONDO_0015828,
,Medication for cholesterol  blood pressure  diabetes  or take exogenous hormones: Hormone replacement therapy,hormone replacement therapy,Good,EFO_0003961,
disease,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2,pain agnosia,Medium,EFO_1001484,
disease,Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2,neoplasm,Medium,EFO_0000616,
,Illnesses of mother: Parkinson's disease,Parkinson's disease,Medium,EFO_0002508,
,Illnesses of mother: Parkinson's disease,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Number of unsuccessful stop-smoking attempts,number of injections,Medium,EFO_0000627,
,Number of unsuccessful stop-smoking attempts,number of teeth measurement,Medium,EFO_0010073,
,Sex of baby: Male,male accessory sex gland,Medium,UBERON_0010147,
,Sex of baby: Male,"46,XX testicular disorder of sex development",Medium,Orphanet_393,
,Spread type: Other type of spread/margarine,"Dysplasia of head of femur, Meyer type",Medium,Orphanet_168621,
,Spread type: Other type of spread/margarine,cornea,Medium,UBERON_0000964,
,Pairs matching completion status,all pairs,Medium,EFO_0001763,
,Pairs matching completion status,status epilepticus,Medium,EFO_0008526,
,Prospective memory result,episodic memory,High,EFO_0004333,
,"Job coding: civil service administrative officer or assistant or clerk, tax collector, prison service clerk, law courts clerk",encounter with health service related to reproduction,Medium,EFO_0009787,
,"Job coding: civil service administrative officer or assistant or clerk, tax collector, prison service clerk, law courts clerk",encounter with health service,Medium,EFO_0009786,
,Workplace very dusty: Rarely/never,very low birth weight infant,Good,EFO_0003965,
disease,Acute intoxication,intoxication,Medium,EFO_0009574,
disease,Acute intoxication,manganese poisoning,Medium,EFO_1001808,
,Methods of admission to hospital (recoded): Elective admission,Loss of ability to walk,Medium,HP_0006957,
,Methods of admission to hospital (recoded): Elective admission,Diminished ability to concentrate,Medium,HP_0031987,
,Sleep apnoea,sleep apnea,High,EFO_0003877,
,Other alcohol intake,energy intake,Medium,EFO_0003939,
,Other alcohol intake,fish consumption measurement,Medium,EFO_0010139,
,Pain management,contraception,Medium,EFO_0009520,
,Pain management,pain,Medium,EFO_0003843,
,Oral surgery,prophylactic surgery,Medium,EFO_0009580,
,Oral surgery,oral tuberculosis,Medium,EFO_0007407,
,PCT where patients GP was registered: STOKE ON TRENT PCT,platelet crit,Good,EFO_0007985,
disease,Sacroiliac joint,joint disease,Medium,EFO_1000999,
disease,Sacroiliac joint,temporomandibular joint disorder,Medium,EFO_0005279,
,PCT where patients GP was registered: SOUTH GLOUCESTERSHIRE PCT,platelet crit,Good,EFO_0007985,
,Non-cancer illness code  self-reported: polio / poliomyelitis,poliomyelitis,Medium,EFO_0007450,
,Non-cancer illness code  self-reported: polio / poliomyelitis,bulbar polio,Medium,EFO_0007186,
,Non-cancer illness code  self-reported: diverticular disease/diverticulitis,diverticular disease,Good,EFO_0009959,
,Ice-cream intake,energy intake,Medium,EFO_0003939,
,Ice-cream intake,fish consumption measurement,Medium,EFO_0010139,
,"Non-cancer illness code, self-reported: tonsiltis","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: tonsiltis",self rated health,Medium,EFO_0004778,
,OCT measured (right): Not performed - equipment failure,respiratory failure,Good,EFO_0009686,
,Which eye(s) affected by hypermetropia (long sight): Right eye,Hypermetropia,Medium,HP_0000540,
,Which eye(s) affected by hypermetropia (long sight): Right eye,eye,Medium,UBERON_0000970,
,Handedness (chirality/laterality): Left-handed,functional laterality,High,EFO_0003889,
,Duration of fitness test,duration,Medium,EFO_0000433,
,Duration of fitness test,sleep duration,Medium,EFO_0005271,
disease,Other symptoms and signs involving the urinary system,Abnormality of the urinary system,High,HP_0000079,
,Breathing problems improved/stopped away from workplace or on holiday: No,Aortic dissection,Medium,HP_0002647,
,Breathing problems improved/stopped away from workplace or on holiday: No,Aortic root aneurysm,Medium,HP_0002616,
,PCT responsible for patient data: BRISTOL PCT,platelet crit,Good,EFO_0007985,
,"Age hay fever, rhinitis or eczema diagnosed",allergic rhinitis,Medium,EFO_0005854,
,"Age hay fever, rhinitis or eczema diagnosed",seasonal allergic rhinitis,Medium,EFO_0003956,
,Main speciality of consultant (recoded): Ophthalmology,consultant,Good,EFO_0001732,
,"Non-cancer illness code, self-reported: ear/vestibular disorder","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: ear/vestibular disorder",nosophobia,Medium,EFO_1001903,
,"Non-cancer illness code, self-reported: headaches (not migraine)","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: headaches (not migraine)",migraine disorder,Medium,EFO_0003821,
,PCT where patients GP was registered: DERBY CITY PCT,platelet crit,Good,EFO_0007985,
,Suggestive for eosinophilic asthma,asthma,Medium,EFO_0000270,
,Suggestive for eosinophilic asthma,atopic asthma,Medium,EFO_0010638,
,"Heel bone ultrasound T-score, manual entry",heel bone mineral density,Medium,EFO_0009270,
,"Heel bone ultrasound T-score, manual entry",bone quantitative ultrasound measurement,Medium,EFO_0004514,
,Frequency of walking for pleasure in last 4 weeks,Difficulty walking,Medium,HP_0002355,
,Frequency of walking for pleasure in last 4 weeks,Toe walking,Medium,HP_0040083,
,Vitamin and/or mineral supplement use: Vitamin B12,vitamin supplement exposure measurement,Medium,EFO_0009116,
,Vitamin and/or mineral supplement use: Vitamin B12,vitamin B12 measurement,Medium,EFO_0004620,
disease,"Gonarthrosis, unspecified",unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
,Vitamin and/or mineral supplement use: Multivitamin with multimineral,vitamin supplement exposure measurement,Good,EFO_0009116,
,Time spent using computer,time,Good,EFO_0000721,
,Non-cancer illness code  self-reported: depression,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: depression,"seeing a general practitioner for nerves, anxiety, tension or depression, self-reported",Medium,EFO_0009820,
treatment,rhinoplasty / nose surgery,prophylactic surgery,Good,EFO_0009580,
,Bilateral oophorectomy (both ovaries removed),bilateral oophorectomy,High,EFO_0009717,
,6mm regularity index (right),IgG index,Medium,EFO_0006929,
,6mm regularity index (right),body mass index,Medium,EFO_0004340,
,Water intake,energy intake,Good,EFO_0003939,
,Vitamin and mineral supplements: Vitamin B,N/A,Did not map,N/A,
disease,Pain in joint (Lower leg),joint disease,Good,EFO_1000999,
disease,Sleep apnoea,sleep apnea,High,EFO_0003877,
,Eye problems/disorders: Cataract,cataract,Good,EFO_0001059,
,Tinnitus: Yes  now some of the time,survival time,Good,EFO_0000714,
,"Activities undertaken to treat anxiety: Talking therapies, such as psychotherapy, counselling, group therapy or CBT",cognitive behavioural therapy,Medium,EFO_0007820,
,"Activities undertaken to treat anxiety: Talking therapies, such as psychotherapy, counselling, group therapy or CBT",hormone replacement therapy,Medium,EFO_0003961,
,"Illness, injury, bereavement, stress in last 2 years: Death of a close relative",sudden infant death syndrome,Good,EFO_0005303,
disease,Unspecified diagnostic endoscopic examination of bladder,ocular tuberculosis,Medium,EFO_1001070,
disease,Unspecified diagnostic endoscopic examination of bladder,bladder carcinoma,Medium,EFO_0000292,
,Leg pain on walking,Lower limb pain,High,HP_0012514,
,"Heel quantitative ultrasound index (QUI), direct entry (right)",bone quantitative ultrasound measurement,Medium,EFO_0004514,
,"Heel quantitative ultrasound index (QUI), direct entry (right)",calcaneal bone quantitative ultrasound measurement,Medium,EFO_0007772,
,Malignant neoplasm of rectum,rectum cancer,High,EFO_1000657,
,Health satisfaction,health satisfaction measurement,High,EFO_0009724,
,Soya dessert intake,energy intake,Medium,EFO_0003939,
,Soya dessert intake,fish consumption measurement,Medium,EFO_0010139,
,malignant neoplasm of female genital organs,female genital tract polyp,Good,EFO_0008622,
,6mm asymmetry index (right),facial asymmetry measurement,Good,EFO_0009751,
,Particulate matter air pollution (pm10); 2010,particulate matter air pollution measurement,Medium,EFO_0008255,
,Particulate matter air pollution (pm10); 2010,traffic air pollution measurement,Medium,EFO_0007908,
,Rose wine intake,energy intake,Good,EFO_0003939,
,"Non-cancer illness code, self-reported: diabetes","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: diabetes",type II diabetes mellitus,Medium,EFO_0001360,
disease,Primary simple repair of tendon,simple cystadenoma,Good,EFO_0002511,
disease,Procedure not carried out because of contraindication,Not NOTCH3-related small vessel disease of the brain,Medium,Orphanet_77304,
disease,Procedure not carried out because of contraindication,dendritic cell sarcoma,Medium,MONDO_0004380,
,Completion status of test: Fully completed,fully-elongated embryo Ce,Medium,EFO_0005504,
,Completion status of test: Fully completed,status epilepticus,Medium,EFO_0008526,
treatment,senna,Senna alexandrina,Good,NCBITaxon_72402,
,"Illness, injury, bereavement, stress in last 2 years: None of the above",Febrile seizure (within the age range of 3 months to 6 years),Medium,HP_0002373,
,"Illness, injury, bereavement, stress in last 2 years: None of the above",Pseudohyperaldosteronism type 2,Medium,Orphanet_88660,
,Mental health problems ever diagnosed by a professional: Panic attacks,panic disorder,Medium,EFO_0004262,
,Mental health problems ever diagnosed by a professional: Panic attacks,mental health,Medium,EFO_0003935,
,Types of spread used on bread/crackers: Polyunsaturated margarine on bread/crackers,depends on,Medium,RO_0002502,
,Types of spread used on bread/crackers: Polyunsaturated margarine on bread/crackers,Episcleritis,Medium,HP_0100534,
,Vascular/heart problems diagnosed by doctor: High blood pressure,hypertension,Medium,EFO_0000537,
,Vascular/heart problems diagnosed by doctor: High blood pressure,blood pressure,Medium,EFO_0004325,
treatment,dosulepin,N/A,Did not map,N/A,
,Endocrinology,N/A,Did not map,N/A,
disease,No procedure performed,Mitochondrial oxidative phosphorylation disorder with no known mechanism,Medium,Orphanet_254822,
disease,No procedure performed,leiomyomatosis,Medium,MONDO_0003295,
disease,4-Aminophenol derivatives,Müllerian derivatives - lymphangiectasia - polydactyly,Medium,Orphanet_1655,
disease,4-Aminophenol derivatives,Persistent Müllerian duct syndrome,Medium,Orphanet_2856,
,PCT responsible for patient data: BURY PCT,platelet crit,Good,EFO_0007985,
treatment,omega-3/fish oil supplement,vitamin supplement exposure measurement,Good,EFO_0009116,
,PCT where patients GP was registered: HAMPSHIRE PCT,platelet crit,Good,EFO_0007985,
disease,"Colon, unspecified",unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
,Ever had same-sex intercourse,same-sex sexual behavior,Medium,EFO_0010142,
,Ever had same-sex intercourse,number of children ever born measurement,Medium,EFO_0009102,
,Mean sphered cell volume,mean corpuscular volume,Medium,EFO_0004526,
,Mean sphered cell volume,mean platelet volume,Medium,EFO_0004584,
,Leek intake,energy intake,Medium,EFO_0003939,
,Leek intake,fish consumption measurement,Medium,EFO_0010139,
,Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer to another provider,eye discharge,Medium,EFO_0010678,
,Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer to another provider,twin-to-twin transfusion syndrome,Medium,EFO_1001221,
,6mm asymmetry index (left),left ventricular mass index,Good,EFO_0009290,
,PCT where patients GP was registered: WOKINGHAM PCT,platelet crit,Good,EFO_0007985,
disease,Hypertensive renal disease with renal failure,hypertensive renal disease,Medium,MONDO_0024633,
disease,Hypertensive renal disease with renal failure,malignant hypertensive renal disease,Medium,MONDO_0000959,
disease,"Cutaneous abscess, furuncle and carbuncle",Cutaneous abscess,High,HP_0031292,
,Time from waking to first cigarette,time to first cigarette measurement,Medium,EFO_0010126,
,Time from waking to first cigarette,distant metastasis free survival,Medium,EFO_0000412,
disease,Endoscopic bilateral clipping of fallopian tubes,rare uterine adnexal tumor,Medium,MONDO_0015861,
disease,Endoscopic bilateral clipping of fallopian tubes,fallopian tube cancer,Medium,MONDO_0002158,
,"Non-cancer illness code, self-reported: hayfever/allergic rhinitis",non-allergic rhinitis,Medium,EFO_0009364,
,"Non-cancer illness code, self-reported: hayfever/allergic rhinitis","Rhinitis, Allergic, Perennial",Medium,EFO_1001417,
,Rheumatology,N/A,Did not map,N/A,
,Non-butter spread type details: Other type of spread/margarine,Syndactyly type 8,Medium,Orphanet_2498,
,Non-butter spread type details: Other type of spread/margarine,Syndactyly type 3,Medium,Orphanet_93404,
disease,Skin of anterior trunk,cutaneous melanoma,Medium,EFO_0000389,
disease,Skin of anterior trunk,Skin Sarcoma,Medium,EFO_1000531,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)",Venous thrombosis,Medium,HP_0004936,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT)",Portal vein thrombosis,Medium,HP_0030242,
,Beef intake,energy intake,Medium,EFO_0003939,
,Beef intake,fish consumption measurement,Medium,EFO_0010139,
disease,Acquired absence of genital organ(s),male reproductive organ cancer,Good,EFO_0007355,
disease,Perineal laceration during delivery,perineal laceration during delivery,High,EFO_0009816,
,Types of spreads/sauces consumed: Peanut butter,peanut allergic reaction,Medium,EFO_0007425,
,Types of spreads/sauces consumed: Peanut butter,INTACT,Medium,EFO_0010037,
,Worrier / anxious feelings,anxiety,High,EFO_0005230,
disease,Coxarthrosis [arthrosis of hip],"osteoarthritis, hip",Medium,EFO_1000786,
disease,Coxarthrosis [arthrosis of hip],developmental dysplasia of the hip,Medium,EFO_1000648,
,Why reduced smoking: Doctor's advice,smoking behavior,Medium,EFO_0004318,
,Why reduced smoking: Doctor's advice,smoking initiation,Medium,EFO_0005670,
,Job SOC coding: Nurses,job satisfaction measurement,Medium,EFO_0009723,
,Job SOC coding: Nurses,job-related exhaustion measurement,Medium,EFO_0007881,
,PCT responsible for patient data: BERKSHIRE WEST PCT,platelet crit,Good,EFO_0007985,
treatment,thyroxine product,thyroxine measurement,Good,EFO_0005130,
,Nervous feelings,emotional symptom measurement,High,EFO_0007803,
disease,Other specified approach through abdominal cavity,hypopharynx cancer,Medium,EFO_0007321,
disease,Other specified approach through abdominal cavity,glaucoma,Medium,EFO_0000516,
,"Non-cancer illness code, self-reported: helicobacter pylori",Helicobacter pylori infectious disease,Good,EFO_1000961,
disease,Combined operations on primary long saphenous vein,Combined T and B cell immunodeficiency,Medium,Orphanet_101972,
disease,Combined operations on primary long saphenous vein,Combined dystonia,Medium,Orphanet_98203,
,Disorders of lacrimal system,lacrimal apparatus disease,High,EFO_0009455,
disease,"Skin of lower limb, including hip",lower extremity fracture,Good,EFO_0009512,
disease,Transthoracic echocardiography,pulsed doppler echocardiography,Good,EFO_0003962,
,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",N/A,Did not map,N/A,
treatment,gynaecological surgery,prophylactic surgery,Good,EFO_0009580,
,"PCT responsible for patient data: ASHTON, LEIGH AND WIGAN PCT",N/A,Did not map,N/A,
,Job SOC coding: Police officers (sergeant and below),job-related exhaustion measurement,Medium,EFO_0007881,
,Job SOC coding: Police officers (sergeant and below),job satisfaction measurement,Medium,EFO_0009723,
,Vitamin and mineral supplements: Vitamin B,N/A,Did not map,N/A,
,PCT where patients GP was registered: STOCKTON-ON-TEES TEACHING PCT,platelet crit,Good,EFO_0007985,
,Mother's age,mother's age at death,Medium,EFO_0009721,
,Mother's age,parental longevity,Medium,EFO_0007796,
treatment,bilateral oophorectomy,bilateral oophorectomy,Good,EFO_0009717,
,Lamb intake,energy intake,Medium,EFO_0003939,
,Lamb intake,fish consumption measurement,Medium,EFO_0010139,
,Seeds intake,energy intake,Medium,EFO_0003939,
,Seeds intake,fish consumption measurement,Medium,EFO_0010139,
,External causes: W01.9 Unspecified place,disease causes feature,Medium,disease_causes_feature,
,External causes: W01.9 Unspecified place,Asian,Medium,HANCESTRO_0008,
,Mineral and other dietary supplements: Iron,N/A,Did not map,N/A,
,"Non-cancer illness code, self-reported: rheumatic fever",rheumatic fever,Good,EFO_1001160,
,Qualifications: None of the above,esophageal carcinoma,Good,EFO_0002916,
,Tinned tomato intake,energy intake,Good,EFO_0003939,
,Oestradiol,estradiol,Good,CHEBI_23965,
disease,Sigmoid colon,sigmoid colon,High,UBERON_0001159,
disease,Ventral hernia without obstruction or gangrene,ventral hernia,Medium,EFO_1001866,
disease,Ventral hernia without obstruction or gangrene,gas gangrene,Medium,EFO_0007279,
,Destinations on discharge from hospital (recoded): Temporary place of residence,place of residence measurement,Medium,EFO_0009583,
,Destinations on discharge from hospital (recoded): Temporary place of residence,eye discharge,Medium,EFO_0010678,
disease,Precordial pain,pain agnosia,Good,EFO_1001484,
,"Non-cancer illness code, self-reported: sleep apnoea","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
disease,Other disorders of male genital organs,male reproductive system disease,High,EFO_0009555,
,"Non-cancer illness code, self-reported: oesophagitis/barretts oesophagus","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: oesophagitis/barretts oesophagus",self rated health,Medium,EFO_0004778,
,Types of spreads/sauces consumed: Tomato ketchup,INTACT,Good,EFO_0010037,
,Main speciality of consultant (recoded): Accident and emergency (A&E),consultant,Medium,EFO_0001732,
,Main speciality of consultant (recoded): Accident and emergency (A&E),stroke,Medium,EFO_0000712,
,Started insulin within one year diagnosis of diabetes,insulin-resistant diabetes mellitus,Good,EFO_0010164,
,Job SOC coding: Filing and other records assistants/clerks,N/A,Did not map,N/A,
disease,"Hyperlipidaemia, unspecified",unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
,Diseases of the musculoskeletal system and connective tissue,N/A,Did not map,N/A,
disease,"Irregular menstruation, unspecified",unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
,Transport type for commuting to job workplace: Cycle,"ability to walk or cycle unaided for 10 minutes, self-reported",Good,EFO_0009822,
disease,Migraine,migraine disorder,High,EFO_0003821,
,PCT responsible for patient data: SOUTH TYNESIDE PCT,platelet crit,Good,EFO_0007985,
,Ever taken oral contraceptive pill,contraception,Medium,EFO_0009520,
,Ever taken oral contraceptive pill,number of children ever born measurement,Medium,EFO_0009102,
,Sources of admission to hospital (recoded): Transfer to other NHS provider,respiratory system disease,Medium,EFO_0000684,
,Sources of admission to hospital (recoded): Transfer to other NHS provider,nut allergic reaction,Medium,EFO_1001066,
disease,Female pelvic peritoneal adhesions,Peritoneal Fibrosis,Medium,EFO_1001394,
disease,Female pelvic peritoneal adhesions,"Panniculitis, Peritoneal",Medium,EFO_1001384,
,Pain type(s) experienced in last month: Neck or shoulder pain,Shoulder pain,Medium,HP_0030834,
,Pain type(s) experienced in last month: Neck or shoulder pain,Neck pain,Medium,HP_0030833,
disease,Personal history of long-term (current) use of other medicaments,cardiovascular disease,Good,EFO_0000319,
treatment,lumpectomy,N/A,Did not map,N/A,
disease,Dizziness and giddiness,Vertigo,High,HP_0002321,
,Magnesium,magnesium atom,High,CHEBI_25107,
,"logMAR, final (right)",right,Good,EFO_0001659,
disease,Internal haemorrhoids with other complications,ophthalmic herpes zoster,Good,EFO_0007403,
,"Tinnitus: No, never",Tinnitus,Medium,HP_0000360,
,"Tinnitus: No, never",Episodic ataxia type 3,Medium,Orphanet_79135,
,"Non-cancer illness code, self-reported: varicose veins","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,PCT responsible for patient data: TRAFFORD PCT,platelet crit,Good,EFO_0007985,
,Had major operations,"number of operations, self-reported",Good,EFO_0009802,
,PCT responsible for patient data: ISLINGTON PCT,platelet crit,Good,EFO_0007985,
treatment,unilateral oophorectomy,bilateral oophorectomy,Good,EFO_0009717,
,Platelet crit,platelet crit,Good,EFO_0007985,
,Reason for glasses/contact lenses: For a 'squint' or 'turn' in an eye since childhood (called 'strabismus'),paralytic strabismus,Good,EFO_0009678,
,PCT where patients GP was registered: OXFORD CITY PCT,platelet crit,Good,EFO_0007985,
disease,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,respiratory system disease,Medium,EFO_0000684,
